#JCAT	Satcat	Piece	Type	Name	PLName	LDate	Parent	SDate	Primary	DDate	Status	Dest	Owner	State	Manufacturer	Bus	Motor	Mass	MassFlag	DryMass	DryFlag	TotMass	TotFlag	Length	LFlag	Diameter	DFlag	Span	SpanFlag	Shape	ODate	Perigee	PF	Apogee	AF	Inc	IF	OpOrbit	OQUAL	AltNames
# Updated 2024 Apr 04 01:32:25
T00001	NNA	2023-174	P       ?   	PICO-1A-1	PICO-1A	2023 Nov 11	A11080	2023 Nov 29	Earth	-	O	-	APOGEO	I	APOGEO	Cubesat 0.3U	-	       0.500	 	      0.500	 	       0.500	 	   0.030	 	  0.1 	 	    0.1 	 	Box	2023 Dec 13	     508	 	     519	 	 97.48 	 	LLEO/S	-	-
T00002	NNA	2024-013	P           	Bayi 08	Bayi 08	2024 Jan 17	S58811	2024 Jan 17 1438	Earth	-	AO	-	BAYI	CN	BAYI	Cubesat 6U	-	      10 	?	     10 	?	      10 	?	   0.3 	 	  0.2 	 	    0.3 	 	Box	-	       0	 	       0	 	  0.00 	 	-	-	-
T00003	NNA A	2024-042B	C  A T      	Dragon Trunk	Dragon D2-23 Trunk	2024 Mar  4	S59097	2024 Mar  4 0405:39	Earth	-	AO	-	SPX	US	SPX	Dragon SM	-	    2300 	?	   2300 	?	       0 	 	   3.7 	 	  3.7 	 	    3.7 	 	Cyl	-	       0	 	       0	 	  0.00 	 	-	-	-
T00004	59287	2024-054B	C  A T      	Dragon Trunk	Dragon D2-24 Trunk	2024 Mar 21	S59287	2024 Mar 21 2107:01	Earth	-	AO	-	SPX	US	SPX	Dragon SM	-	    2300 	?	   2300 	?	       0 	 	   3.7 	 	  3.7 	 	    3.7 	 	Cyl	-	       0	 	       0	 	  0.00 	 	-	-	-
T00005	NNA	2023-164	CP T T      	Shenzhou 17 Guidao Cang	Shenzhou 17 orbital module	2023 Oct 26	S58146	2023 Oct 26 0324	Earth	-	AO	-	CMSEO	CN	CAST	Shenzhou OM	-	    1842 	?	   1500 	?	    1842 	?	   2.3 	 	  2.8 	 	    4.3 	 	Cyl + 2 pan	-	       0	 	       0	 	  0.00 	 	-	-	-
T00006	NNA	2023-174DH	P       ?   	Crypto3	Crypto-3A	2023 Nov 11	A11080	2024 Jan  9?	Earth	-	O	-	CRYPTO	US	CRYPTO	Cubesat 3U	-	       2 	 	      2 	 	       2 	 	   0.3 	 	  0.1 	 	    0.3 	 	Box	-	       0	 	       0	 	  0.00 	 	-	-	-
T00007	NNA	2023-174CX	P       ?   	ROM-3	ROM-3	2023 Nov 11	A11101	2023 Nov 28 0925	Earth	-	O	-	ROMSP	RO	ROMSP	PocketQube 2P	-	       0.500	 	      0.500	 	       0.500	 	   0.1 	 	  0.050	 	    0.1 	 	Box	-	       0	 	       0	 	  0.00 	 	-	-	-
T00008	NNA	2023-174DF	P S     ?   	Sateliot-2?	Platform?	2023 Nov 11	A11080	2023 Nov 11	Earth	-	AO	-	STIOT	E	ENDUR	Cubesat 6U	-	       7.407	 	      7.407	 	       7.407	 	   0.3 	 	  0.2 	 	    0.4 	 	Box + 2 pan	-	       0	 	       0	 	  0.00 	 	-	-	-
T00009	NNA	2023-174DV	P       ?   	Tartan-Artibeus 2	Unicorn-2TA2	2023 Nov 11	A11101	2023 Nov 29?	Earth	-	O	-	CMU	US	ALBA	PocketQube 1P	-	       0.200	 	      0.200	 	       0.200	 	   0.050	 	  0.050	 	    0.2 	?	Box + 2 ant	-	       0	 	       0	 	  0.00 	 	-	-	-
T00010	NNA	1998-067	P    D      	STARS-Me2	STARS-Me2	2023 Nov 10	A11095*	2023 Nov 10 0130	Earth	-	AO	-	SHIZ	J	SHIZ	Cubesat 1U	-	       1 	 	      1 	 	       1 	 	   0.1 	 	  0.1 	 	    3.5 	 	Box+tether	-	       0	 	       0	 	  0.00 	 	-	-	-
T00011	NNA	1998-067	P    D      	Kashiwa	Kashiwa	2023 Nov 10	A11095*	2023 Nov 10 0130	Earth	-	AO	-	CHIBA	J	CHIBA	Cubesat 1U	-	       1 	 	      1 	 	       1 	 	   0.1 	 	  0.1 	 	    0.1 	 	Box	-	       0	 	       0	 	  0.00 	 	-	-	-
T00012	NNA	1998-067	P    D      	Yomogi	Yomogi	2023 Nov 10	A11095*	2023 Nov 10 0130	Earth	-	AO	-	CHIBA	J	CHIBA	Cubesat 1U	-	       1 	 	      1 	 	       1 	 	   0.1 	 	  0.1 	 	    0.1 	 	Box	-	       0	 	       0	 	  0.00 	 	-	-	-
T00013	NNA	1998-067	P    D      	Dream Sat 01	Dream Sat 01	2023 Nov 10	A11095*	2023 Nov 10 0130	Earth	-	AO	-	OIT	J	OIT	Cubesat 1U	-	       1 	 	      1 	 	       1 	 	   0.1 	 	  0.1 	 	    0.1 	 	Box	-	       0	 	       0	 	  0.00 	 	-	-	-
T00014	NNA	1998-067	P    D      	K'oto	K'oto	2023 Nov 10	A11095*	2023 Nov 10 0130	Earth	-	AO	-	UNAM	MX	UNAM	Cubesat 1U	-	       1 	 	      1 	 	       1 	 	   0.1 	 	  0.1 	 	    0.1 	 	Box	-	       0	 	       0	 	  0.00 	 	-	-	-
T00015	NNA	2023-185T	P       ?   	LOGSATS	LOGSATS	2023 Dec  1	A11093	2024 Jan  5 0000?	Earth	-	AO	-	PATIN	T	PATIN	Cubesat 3U	-	       5 	 	      5 	 	       5 	 	   0.3 	 	  0.1 	 	    0.3 	 	Box+ 2 pan	-	       0	 	       0	 	  0.00 	 	-	-	-
T00016	NNA	1998-067	P    D      	QMSAT	UdeSat	2024 Mar 21	A11176	2024 Mar 21 2110	Earth	-	AO	-	UDES	CA	UDES	Cubesat 2U	-	       2 	 	      2 	 	       2 	 	   0.2 	 	  0.1 	 	    0.2 	 	Box	-	       0	 	       0	 	  0.00 	 	-	-	-
T00017	NNA	1998-067	P    D      	Killick-1	Killick-1	2024 Mar 21	A11176	2024 Mar 21 2110	Earth	-	AO	-	MUNF	CA	MUNF	Cubesat 2U	-	       2 	 	      2 	 	       2 	 	   0.2 	 	  0.1 	 	    0.2 	 	Box	-	       0	 	       0	 	  0.00 	 	-	-	-
T00018	NNA	1998-067	P    D      	VIOLET	VIOLET	2024 Mar 21	A11176	2024 Mar 21 2110	Earth	-	AO	-	UNBRUN	CA	UNBRUN	Cubesat 2U	-	       2 	 	      2 	 	       2 	 	   0.2 	 	  0.1 	 	    0.2 	 	Box	-	       0	 	       0	 	  0.00 	 	-	-	-
T00019	NNA	1998-067	P    D      	HyTI	HyTI	2024 Mar 21	A11176	2024 Mar 21 2110	Earth	-	AO	-	UHI	US	UHI	Cubesat 6U	-	      12 	 	     12 	 	      12 	 	   0.3 	 	  0.2 	 	    1.0 	 	Box+ 2 pan	-	       0	 	       0	 	  0.00 	 	-	-	-
T00020	NNA	1998-067	P    D      	SNoOPI	SNoOPI	2024 Mar 21	A11176	2024 Mar 21 2110	Earth	-	AO	-	GSFC/PURDUE	US	GSFC/PURDUE	Cubesat 6U	-	      12 	 	     12 	 	      12 	 	   0.3 	 	  0.2 	 	    1.0 	 	Box+ 2 pan	-	       0	 	       0	 	  0.00 	 	-	-	-
T00021	NNA	1998-067	P    D      	BurstCube	BurstCube	2024 Mar 21	A11176	2024 Mar 21 2110	Earth	-	AO	-	GSFC	US	GSFC	Cubesat 6U	-	      12 	 	     12 	 	      12 	 	   0.3 	 	  0.2 	 	    1.0 	 	Box+ 2 pan	-	       0	 	       0	 	  0.00 	 	-	-	-
T00022	NNA	1998-067	P    D      	Big Red Sat 1	Big Red Sat 1	2024 Mar 21	A11176	2024 Mar 21 2110	Earth	-	AO	-	UNL	US	UNL	Cubesat 1U	-	       1 	 	      1 	 	       1 	 	   0.1 	 	  0.1 	 	    0.1 	 	Box	-	       0	 	       0	 	  0.00 	 	-	-	-
T00023	NNA	2024-043	P       ?   	Gluon	Gluon	2024 Mar  4	S59138	2024 Mar  4 2318:43	Earth	-	O	-	ATOMOS	US	ATOMOS	Atomos	-	     100 	?	    100 	?	     100 	?	   0.5 	 	  1.0 	 	    1.0 	 	Box + 2 pan	-	       0	 	       0	 	  0.00 	 	-	-	-
