OBJECT_NAME;MISSION;PROGRAM;PARENT;NSSDCID;COSPARID;LAUNCH_EPOCH;LAUNCHER;LAUNCH_SITE;OPERATORS;NATION;BUS_TYPE;MASS_TOT;MASS_DRY;POWER;TARGET;TRAJECTORY_COMMENT;RESULT;FAILURE_REASON;RESULT_COMMENT;DISPOSAL_STRATEGY;LAST_KNOWN_BODY;LAST_KNOWN_STATUS;LAST_KNOWN_STATUS_EPOCH;OBSERVATION;OBS_REFERENCE;LAST_KNOWN_LATITUDE;LAST_KNOWN_LONGITUDE;HORIZONS;SHAPE;SIZE_1;SIZE_2;REFERENCE_NOTES;;;
Pioneer 0;Pioneer 0;Pioneer;-;ABLE1;ABLE1;1958-08-17;Thor-Able;Cape Canaveral, United States;Department of Defense-Department of the Air Force;USA;R-ORB;;38.10;Unknown;Orbit;LLO;Unproven;Launcher failure;;Unknown;E;Destroyed during launch;1958-08-17;;;;;;;;;Siddiqi, Asif A. Beyond Earth: A Chronicle of Deep Space Exploration, 1958-2016. NASA History Program Office, 2018.;;;
Luna 1958A;Luna 1958A;Luna;-;N/A;N/A;1958-09-23;SL-3/A-1;Tyuratam (Baikonur Cosmodrome), U.S.S.R;Unknown;USSR;R-IMP;;360.00;Unknown;Impact;;Unproven;Launcher failure;;Moon impact;E;Destroyed during launch;1958-09-23;;;;;;;;;;;;
Luna 1958B;Luna 1958B;Luna;-;N/A;N/A;1958-10-11;SL-3/A-1;Tyuratam (Baikonur Cosmodrome), U.S.S.R;Unknown;USSR;R-IMP;;360.00;Unknown;Impact;;Unproven;Launcher failure;;Moon impact;E;Destroyed during launch;1958-10-11;;;;;;;;;;;;
Pioneer 1;Pioneer 1;Pioneer;-;1958-007A;1958-007A;1958-10-11;Thor-Able;Cape Canaveral, United States;Department of Defense-Department of the Air Force , NASA-Office of Space Science Applications;USA;R-ORB;;34.20;Unknown;Orbit;;Unproven;Launcher failure;Earth orbit;Unknown;E;Destroyed during launch;1958-10-13;;;;;;;;;;;;
Pioneer 2;Pioneer 2;Pioneer;-;PION2;N/A;1958-11-08;Thor-Able;Cape Canaveral, United States;NASA-Office of Space Science Applications , Space Technology Laboratories;USA;R-ORB;;39.20;Unknown;Orbit;;Unproven;Launcher failure;Earth sub-orbital trajectory;Unknown;E;Destroyed during re-entry;1958-11-08;;;;;;;;;;;;
Luna 1958C;Luna 1958C;Luna;-;N/A;N/A;1958-12-04;SL-3/A-1;Tyuratam (Baikonur Cosmodrome), U.S.S.R;Unknown;USSR;R-IMP;;156.00;Unknown;Impact;;Unproven;Launcher failure;;Moon impact;E;Destroyed during launch;1958-12-04;;;;;;;;;;;;
Pioneer 3;Pioneer 3;Pioneer;-;1958-008A;1958-008A;1958-12-06;Juno 2 (Juno II);Cape Canaveral, United States;Department of Defense-Department of the Army , NASA-Office of Space Science Applications;USA;R-ORB;;5.87;Unknown;Fly-by;;Unproven;Launcher failure;Earth orbit;Heliocentric orbit;E;Destroyed during re-entry;1958-12-07;;;;;;;;;;;;
Luna 1;Luna 1;Luna;-;1959-012A;1959-012A;1959-01-02;Modified SS-6 (Sapwood) with 1st Generation Upper Stage;Tyuratam (Baikonur Cosmodrome), U.S.S.R;Unknown;USSR;R-IMP;;361.00;Unknown;Impact;;Partial success;Operational error;Accidental Fly-by (first);Moon impact;S;Orbit (Sun);Unknown;yes;;;;No;sphere;2.00;0.56;Siddiqi, Asif A. Beyond Earth: A Chronicle of Deep Space Exploration, 1958-2016. NASA History Program Office, 2018.;;;
Pioneer 4;Pioneer 4;Pioneer;-;1959-013A;1959-013A;1959-03-03;Juno 2 (Juno II);Cape Canaveral, United States;Department of Defense-Department of the Army , NASA-Office of Space Science Applications;USA;R-ORB;;6.10;Unknown;Fly-by;;Partial success;Spacecraft malfunction;the flyby was too high;Heliocentric orbit;S;Orbit (Sun);1959-03-18;;;;;No;cone;0.60;0.12;;;;
Luna 1959A;Luna 1959A;Luna;-;N/A;N/A;1959-06-18;SL-3/A-1;Tyuratam (Baikonur Cosmodrome), U.S.S.R;Unknown;USSR;R-IMP;;390.00;Unknown;Impact;;Unproven;Launcher failure;;Moon impact;E;Destroyed during launch;1959-06-18;;;;;;;;;;;;
