RESULT;- multiple -;;;;;;
LAST_KNOWN_STATUS_EPOCH;- multiple -;;;;;;
;;;;;;;0
Count - DISPOSAL_STRATEGY;DISPOSAL_STRATEGY;;;;;;0
LAST_KNOWN_STATUS;Destructive Earth re-entry;Earth soft landing;Heliocentric orbit;Moon impact;Moon surface;Unknown;0
Destroyed during launch;;7;;6;11;7;31
Destroyed during re-entry;10;2;1;2;5;3;23
Impacted (commanded);;;;33;;;33
Impacted (orbit decay);;;;15;;2;17
Impacted (unintentional);;2;;1;10;;13
Orbit (Earth);;;1;;1;4;6
Orbit (Moon);;;;1;;1;2
Orbit (Sun);;;8;3;2;4;17
Soft landed (Earth);;19;;;;;19
Soft landed (Moon);;1;;;26;;27
Total Result;10;31;10;61;55;21;188
